#Temp Energy       Mag
0.10  -2.81241e+00 6.06331e-01
0.20  -2.79948e+00 5.17794e-01
0.30  -2.79477e+00 4.66459e-01
0.40  -2.79521e+00 4.78141e-01
0.50  -2.79903e+00 4.59631e-01
0.60  -2.79543e+00 4.73295e-01
0.70  -2.81566e+00 5.26825e-01
0.80  -2.80090e+00 4.42564e-01
0.90  -2.80196e+00 4.08435e-01
1.00  -2.82451e+00 6.80625e-01
1.10  -2.80095e+00 4.78286e-01
1.20  -2.82038e+00 6.12804e-01
1.30  -2.81278e+00 5.24723e-01
1.40  -2.81503e+00 4.91103e-01
1.50  -2.81237e+00 4.38254e-01
1.60  -2.81158e+00 5.68840e-01
1.70  -2.81400e+00 5.96266e-01
1.80  -2.80243e+00 5.30487e-01
1.90  -2.79022e+00 4.97512e-01
2.00  -2.76694e+00 4.75474e-01
2.10  -2.77278e+00 5.49483e-01
2.20  -2.75441e+00 5.40270e-01
2.30  -2.72376e+00 5.25558e-01
2.40  -2.71108e+00 5.67289e-01
2.50  -2.68123e+00 4.16740e-01
2.60  -2.66179e+00 5.18691e-01
2.70  -2.64947e+00 5.91309e-01
2.80  -2.60407e+00 5.16727e-01
2.90  -2.58102e+00 4.60424e-01
3.00  -2.53537e+00 4.27023e-01
3.10  -2.48902e+00 4.05395e-01
3.20  -2.44638e+00 4.46263e-01
3.30  -2.39445e+00 4.22531e-01
3.40  -2.36377e+00 4.76418e-01
3.50  -2.32505e+00 5.24338e-01
3.60  -2.27528e+00 4.77698e-01
3.70  -2.21791e+00 3.86818e-01
3.80  -2.15820e+00 4.29486e-01
3.90  -2.09063e+00 3.75772e-01
4.00  -2.03709e+00 3.65965e-01
4.10  -1.94894e+00 2.03834e-01
4.20  -1.86625e+00 2.27646e-01
4.30  -1.75287e+00 8.62151e-02
4.40  -1.65434e+00 3.15933e-02
4.50  -1.57937e+00 7.17446e-03
4.60  -1.52730e+00 -9.41131e-03
4.70  -1.49378e+00 -2.61678e-02
4.80  -1.45917e+00 -2.98527e-02
4.90  -1.43518e+00 -2.93722e-02
5.00  -1.40501e+00 -2.96065e-02
5.10  -1.38880e+00 -2.84462e-02
5.20  -1.36221e+00 -2.82020e-02
5.30  -1.34075e+00 -2.79193e-02
5.40  -1.32480e+00 -3.07005e-02
5.50  -1.30230e+00 -2.98428e-02
5.60  -1.28884e+00 -3.09704e-02
5.70  -1.26894e+00 -2.88983e-02
5.80  -1.24903e+00 -2.84444e-02
5.90  -1.23026e+00 -3.17154e-02
6.00  -1.21955e+00 -3.05883e-02
6.10  -1.20262e+00 -3.02787e-02
6.20  -1.18557e+00 -3.04268e-02
6.30  -1.17161e+00 -3.03426e-02
6.40  -1.16397e+00 -2.91854e-02
6.50  -1.14729e+00 -3.00611e-02
6.60  -1.13427e+00 -3.04571e-02
6.70  -1.11962e+00 -2.93215e-02
6.80  -1.10584e+00 -2.92226e-02
6.90  -1.09394e+00 -2.95872e-02
7.00  -1.08185e+00 -3.05790e-02
